,time,x,y,z
0,0.00000000000000e+000,4.03846001409177e+006,-5.54678073355978e+006,9.60805130690343e+005
1,6.00000000000000e+001,4.22368780786129e+006,-5.33165921446903e+006,1.31641696026005e+006
2,1.20000000000000e+002,4.39069651876508e+006,-5.09353932394102e+006,1.66635036122048e+006
3,1.80000000000000e+002,4.53876574660273e+006,-4.83344820370943e+006,2.00909587882033e+006
4,2.40000000000000e+002,4.66725678755554e+006,-4.55250776947630e+006,2.34317506359291e+006
5,3.00000000000000e+002,4.77561538926656e+006,-4.25192987147404e+006,2.66714684871984e+006
6,3.60000000000000e+002,4.86337414163503e+006,-3.93301106709052e+006,2.97961376614289e+006
7,4.20000000000000e+002,4.93015449301264e+006,-3.59712702810567e+006,3.27922797461048e+006
8,4.80000000000000e+002,4.97566838310449e+006,-3.24572660666432e+006,3.56469707365642e+006
9,5.40000000000000e+002,4.99971948553115e+006,-2.88032558558201e+006,3.83478967843229e+006
10,6.00000000000000e+002,5.00220405469208e+006,-2.50250013994200e+006,4.08834073134583e+006
11,6.60000000000000e+002,4.98311137327732e+006,-2.11388003818744e+006,4.32425652759360e+006
12,7.20000000000000e+002,4.94252379849712e+006,-1.71614161203583e+006,4.54151943290984e+006
13,7.80000000000000e+002,4.88061640683010e+006,-1.31100052554062e+006,4.73919227318137e+006
14,8.40000000000000e+002,4.79765623882238e+006,-9.00204374490830e+005,4.91642237699378e+006
15,9.00000000000000e+002,4.69400114719514e+006,-4.85525148071593e+005,5.07244525367103e+006
16,9.60000000000000e+002,4.57009825322953e+006,-6.87515853025811e+004,5.20658789094314e+006
17,1.02000000000000e+003,4.42648201808724e+006,3.48318540774792e+005,5.31827165801746e+006
18,1.08000000000000e+003,4.26377193738632e+006,7.63886177878849e+005,5.40701480153065e+006
19,1.14000000000000e+003,4.08266986897665e+006,1.17615875478720e+006,5.47243452361530e+006
20,1.20000000000000e+003,3.88395700544195e+006,1.58335791367994e+006,5.51424863311716e+006
21,1.26000000000000e+003,3.66849050438760e+006,1.98372718117263e+006,5.53227676284040e+006
22,1.32000000000000e+003,3.43719979104957e+006,2.37553954494967e+006,5.52644114757029e+006
23,1.38000000000000e+003,3.19108254917346e+006,2.75710490331602e+006,5.49676695951723e+006
24,1.44000000000000e+003,2.93120041745712e+006,3.12677735553302e+006,5.44338219973521e+006
25,1.50000000000000e+003,2.65867441012044e+006,3.48296230149137e+006,5.36651714598301e+006
26,1.56000000000000e+003,2.37468008135602e+006,3.82412332009624e+006,5.26650335940993e+006
27,1.62000000000000e+003,2.08044245451893e+006,4.14878879669444e+006,5.14377225435058e+006
28,1.68000000000000e+003,1.77723073792887e+006,4.45555827095586e+006,4.99885323739822e+006
29,1.74000000000000e+003,1.46635285007834e+006,4.74310847782715e+006,4.83237142378360e+006
30,1.80000000000000e+003,1.14914977786256e+006,5.01019905550005e+006,4.64504494091003e+006
31,1.86000000000000e+003,8.26989792167278e+005,5.25567789577226e+006,4.43768183067590e+006
32,1.92000000000000e+003,5.01262545765704e+005,5.47848611372234e+006,4.21117656394659e+006
33,1.98000000000000e+003,1.73373078983687e+005,5.67766261526125e+006,3.96650618221093e+006
34,2.04000000000000e+003,-1.55264241010115e+005,5.85234824285854e+006,3.70472608306514e+006
35,2.10000000000000e+003,-4.83231821145832e+005,6.00178948156011e+006,3.42696546770397e+006
36,2.16000000000000e+003,-8.09114957309046e+005,6.12534170931166e+006,3.13442247005644e+006
37,2.22000000000000e+003,-1.13150793673585e+006,6.22247197756726e+006,2.82835898857677e+006
38,2.28000000000000e+003,-1.44902010162322e+006,6.29276131018884e+006,2.51009524298407e+006
39,2.34000000000000e+003,-1.76028184779914e+006,6.33590651072017e+006,2.18100407943029e+006
40,2.40000000000000e+003,-2.06395053257682e+006,6.35172147023950e+006,1.84250504866160e+006
41,2.46000000000000e+003,-2.35871626630926e+006,6.34013797014944e+006,1.49605828271711e+006
