,time,x,y,z
0,0.00000000000000e+000,-4.76396321469460e+006,7.56460204968315e+005,4.97307799437179e+006
1,6.00000000000000e+001,-4.65321719393735e+006,3.40849823621660e+005,5.12156943080458e+006
2,1.20000000000000e+002,-4.52239929440847e+006,-7.62308300234767e+004,5.24796872830400e+006
3,1.80000000000000e+002,-4.37207380548262e+006,-4.92982658274242e+005,5.35173065735025e+006
4,2.40000000000000e+002,-4.20288916347048e+006,-9.07607981842122e+005,5.43240763581378e+006
5,3.00000000000000e+002,-4.01557515455716e+006,-1.31831829422002e+006,5.48965165962259e+006
6,3.60000000000000e+002,-3.81093976683401e+006,-1.72334197649208e+006,5.52321580389473e+006
7,4.20000000000000e+002,-3.58986570500264e+006,-2.12093193929813e+006,5.53295528806080e+006
8,4.80000000000000e+002,-3.35330658278530e+006,-2.50937315898857e+006,5.51882810038196e+006
9,5.40000000000000e+002,-3.10228280946560e+006,-2.88699007546238e+006,5.48089517916964e+006
10,6.00000000000000e+002,-2.83787718830351e+006,-3.25215381977714e+006,5.41932014992513e+006
11,6.60000000000000e+002,-2.56123024581075e+006,-3.60328924035445e+006,5.33436861953306e+006
12,7.20000000000000e+002,-2.27353531203421e+006,-3.93888169747290e+006,5.22640703055316e+006
13,7.80000000000000e+002,-1.97603337306874e+006,-4.25748359674023e+006,5.09590108055244e+006
14,8.40000000000000e+002,-1.67000771800324e+006,-4.55772063336213e+006,4.94341371329608e+006
15,9.00000000000000e+002,-1.35677840339073e+006,-4.83829772027291e+006,4.76960269046212e+006
16,9.60000000000000e+002,-1.03769655912017e+006,-5.09800457455649e+006,4.57521775435446e+006
17,1.02000000000000e+003,-7.14138560251993e+005,-5.33572093806070e+006,4.36109739385293e+006
18,1.08000000000000e+003,-3.87500089957249e+005,-5.55042140968531e+006,4.12816522755074e+006
19,1.14000000000000e+003,-5.91901191703842e+004,-5.74117986849956e+006,3.87742601968071e+006
20,1.20000000000000e+003,2.69375171075460e+005,-5.90717346860986e+006,3.60996134601588e+006
21,1.26000000000000e+003,5.96778498414230e+005,-6.04768618854561e+006,3.32692492843979e+006
22,1.32000000000000e+003,9.21607592663411e+005,-6.16211191985262e+006,3.02953765831098e+006
23,1.38000000000000e+003,1.24246128772017e+006,-6.24995708157143e+006,2.71908233008875e+006
24,1.44000000000000e+003,1.55795556555951e+006,-6.31084274932280e+006,2.39689810793681e+006
25,1.50000000000000e+003,1.86672952626338e+006,-6.34450628981644e+006,2.06437474917351e+006
26,1.56000000000000e+003,2.16745125832867e+006,-6.35080249373251e+006,1.72294660948603e+006
27,1.62000000000000e+003,2.45882358393228e+006,-6.32970420208908e+006,1.37408645576735e+006
28,1.68000000000000e+003,2.73958965437080e+006,-6.28130242339370e+006,1.01929911326457e+006
29,1.74000000000000e+003,3.00853837153852e+006,-6.20580594107380e+006,6.60114974442003e+005
30,1.80000000000000e+003,3.26450961205804e+006,-6.10354041287919e+006,2.98083397558817e+005
31,1.86000000000000e+003,3.50639923152892e+006,-5.97494696614155e+006,-6.52339765631966e+004
32,1.92000000000000e+003,3.73316382730827e+006,-5.82058029495019e+006,-4.28269960753297e+005
33,1.98000000000000e+003,3.94382523927880e+006,-5.64110626745211e+006,-7.89458581629914e+005
34,2.04000000000000e+003,4.13747476919009e+006,-5.43729905359735e+006,-1.14724183450300e+006
35,2.10000000000000e+003,4.31327710037271e+006,-5.21003778571927e+006,-1.50007640390310e+006
36,2.16000000000000e+003,4.47047390091733e+006,-4.96030276635441e+006,-1.84644032074768e+006
37,2.22000000000000e+003,4.60838709477627e+006,-4.68917123965985e+006,-2.18483952742886e+006
38,2.28000000000000e+003,4.72642178667755e+006,-4.39781274466806e+006,-2.51381432250356e+006
39,2.34000000000000e+003,4.82406882823461e+006,-4.08748407042345e+006,-2.83194565718672e+006
40,2.40000000000000e+003,4.90090701418259e+006,-3.75952383476165e+006,-3.13786125648729e+006
41,2.46000000000000e+003,4.95660489926780e+006,-3.41534671011631e+006,-3.43024153858314e+006
42,2.52000000000000e+003,4.99092222795289e+006,-3.05643732126077e+006,-3.70782530690148e+006
43,2.58000000000000e+003,5.00371097077086e+006,-2.68434384130685e+006,-3.96941519035164e+006
44,2.64000000000000e+003,4.99491596285731e+006,-2.30067131358480e+006,-4.21388280824352e+006
45,2.70000000000000e+003,4.96457514190680e+006,-1.90707472821082e+006,-4.44017363761258e+006
46,2.76000000000000e+003,4.91281938452676e+006,-1.50525188320662e+006,-4.64731156195601e+006
47,2.82000000000000e+003,4.83987194169486e+006,-1.09693606096512e+006,-4.83440308175871e+006
48,2.88000000000000e+003,4.74604747575507e+006,-6.83888551652450e+005,-5.00064116864695e+006
49,2.94000000000000e+003,4.63175070310631e+006,-2.67891055797140e+005,-5.14530874654448e+006
50,3.00000000000000e+003,4.49747464843859e+006,1.49262001161779e+005,-5.26778178481516e+006
51,3.06000000000000e+003,4.34379851804702e+006,5.65771209216235e+005,-5.36753199004939e+006
52,3.12000000000000e+003,4.17138520139726e+006,9.79839935631742e+005,-5.44412908488347e+006
53,3.18000000000000e+003,3.98097841171957e+006,1.38968207481009e+006,-5.49724266402196e+006
54,3.24000000000000e+003,3.77339947796561e+006,1.79352975274279e+006,-5.52664361945695e+006
55,3.30000000000000e+003,3.54954380196603e+006,2.18964095282157e+006,-5.53220512873667e+006
56,3.36000000000000e+003,3.31037699607110e+006,2.57630703011182e+006,-5.51390320202021e+006
57,3.42000000000000e+003,3.05693071793487e+006,2.95186008167564e+006,-5.47181678555898e+006
58,3.48000000000000e+003,2.79029822040972e+006,3.31468014115232e+006,-5.40612742115813e+006
59,3.54000000000000e+003,2.51162963574688e+006,3.66320216656202e+006,-5.31711846308715e+006
60,3.60000000000000e+003,2.22212701444514e+006,3.99592279119057e+006,-5.20517385581749e+006
61,3.66000000000000e+003,1.92303914014743e+006,4.31140680843486e+006,-5.07077647785934e+006
62,3.72000000000000e+003,1.61565614295185e+006,4.60829336263643e+006,-4.91450605884172e+006
63,3.78000000000000e+003,1.30130393437277e+006,4.88530181919848e+006,-4.73703667882053e+006
64,3.84000000000000e+003,9.81338487956902e+005,5.14123728866560e+006,-4.53913386060136e+006
65,3.90000000000000e+003,6.57139990225511e+005,5.37499578093753e+006,-4.32165126761972e+006
66,3.96000000000000e+003,3.30106887172675e+005,5.58556896738416e+006,-4.08552702162221e+006
67,4.02000000000000e+003,1.64985200043442e+003,5.77204853032017e+006,-3.83177965603271e+006
68,4.08000000000000e+003,-3.26814299888682e+005,5.93363008107753e+006,-3.56150372245898e+006
69,4.14000000000000e+003,-6.53868722393855e+005,6.06961662977520e+006,-3.27586506929092e+006
70,4.20000000000000e+003,-9.78102650350530e+005,6.17942159181884e+006,-2.97609581275695e+006
71,4.26000000000000e+003,-1.29811748493464e+006,6.26257131816203e+006,-2.66348902213061e+006
72,4.32000000000000e+003,-1.61253282658667e+006,6.31870713841450e+006,-2.33939314201336e+006
73,4.38000000000000e+003,-1.91999242943228e+006,6.34758690798424e+006,-2.00520617575320e+006
74,4.44000000000000e+003,-2.21917005151495e+006,6.34908605258007e+006,-1.66236965508921e+006
75,4.50000000000000e+003,-2.50877517560512e+006,6.32319810556881e+006,-1.31236242203422e+006
76,4.56000000000000e+003,-2.78755857590909e+006,6.27003473586950e+006,-9.56694249817867e+005
77,4.62000000000000e+003,-3.05431770666523e+006,6.18982526626405e+006,-5.96899330406286e+005
78,4.68000000000000e+003,-3.30790188938369e+006,6.08291568420223e+006,-2.34529656690434e+005
79,4.74000000000000e+003,-3.54721727635398e+006,5.94976714936804e+006,1.28851672110754e+005
80,4.80000000000000e+003,-3.77123156901035e+006,5.79095400444492e+006,4.91677192954922e+005
81,4.86000000000000e+003,-3.97897847080186e+006,5.60716129766066e+006,8.52381840304383e+005
82,4.92000000000000e+003,-4.16956185535955e+006,5.39918182779855e+006,1.20940969711244e+006
83,4.98000000000000e+003,-4.34215963198116e+006,5.16791272442121e+006,1.56122070634733e+006
84,5.04000000000000e+003,-4.49602729175937e+006,4.91435157805862e+006,1.90629731410308e+006
85,5.10000000000000e+003,-4.63050111905719e+006,4.63959213705283e+006,2.24315101564221e+006
86,5.16000000000000e+003,-4.74500105447765e+006,4.34481958962122e+006,2.57032877613326e+006
87,5.22000000000000e+003,-4.83903319697823e+006,4.03130545148951e+006,2.88641929838730e+006
88,5.28000000000000e+003,-4.91219193433706e+006,3.70040208114678e+006,3.19005911055697e+006
89,5.34000000000000e+003,-4.96416169278095e+006,3.35353684638134e+006,3.47993844753867e+006
90,5.40000000000000e+003,-4.99471829822823e+006,2.99220596726033e+006,3.75480690070804e+006
