,time,x,y,z
0,0.00000000000000e+000,-4.26538704667828e+006,-3.28557689679584e+006,-4.36010780692858e+006
1,6.00000000000000e+001,-3.89781755299067e+006,-3.44699244170598e+006,-4.57431346993062e+006
2,1.20000000000000e+002,-3.51343463363715e+006,-3.59353921700297e+006,-4.76878760921365e+006
3,1.80000000000000e+002,-3.11389634304280e+006,-3.72458508604122e+006,-4.94269135111561e+006
4,2.40000000000000e+002,-2.70092610906390e+006,-3.83956477608850e+006,-5.09527455338438e+006
5,3.00000000000000e+002,-2.27630529889808e+006,-3.93798231665739e+006,-5.22587904095294e+006
6,3.60000000000000e+002,-1.84186553507022e+006,-4.01941317889806e+006,-5.33394144500950e+006
7,4.20000000000000e+002,-1.39948079463957e+006,-4.08350610682416e+006,-5.41899563311632e+006
8,4.80000000000000e+002,-9.51059325708505e+005,-4.12998463247260e+006,-5.48067471989463e+006
9,5.40000000000000e+002,-4.98535416101533e+005,-4.15864826846153e+006,-5.51871264960257e+006
10,6.00000000000000e+002,-4.38610497206151e+004,-4.16937337280249e+006,-5.53294534377957e+006
11,6.60000000000000e+002,4.11002513432364e+005,-4.16211368223605e+006,-5.52331140900681e+006
12,7.20000000000000e+002,8.64093197246034e+005,-4.13690051179070e+006,-5.48985240173067e+006
13,7.80000000000000e+002,1.31345657301032e+006,-4.09384261970391e+006,-5.43271264900701e+006
14,8.40000000000000e+002,1.75715428993976e+006,-4.03312573828823e+006,-5.35213862593939e+006
15,9.00000000000000e+002,2.19327243634396e+006,-3.95501177276585e+006,-5.24847789249668e+006
16,9.60000000000000e+002,2.61992979537878e+006,-3.85983767152775e+006,-5.12217759429628e+006
17,1.02000000000000e+003,3.03528595976668e+006,-3.74801397269038e+006,-4.97378253381970e+006
18,1.08000000000000e+003,3.43754927048315e+006,-3.62002303321953e+006,-4.80393282038059e+006
19,1.14000000000000e+003,3.82498454516499e+006,-3.47641694826012e+006,-4.61336110898202e+006
20,1.20000000000000e+003,4.19592056290394e+006,-3.31781516964685e+006,-4.40288943997350e+006
21,1.26000000000000e+003,4.54875727313931e+006,-3.14490183386867e+006,-4.17342569313995e+006
22,1.32000000000000e+003,4.88197269755400e+006,-2.95842281101267e+006,-3.92595967151806e+006
23,1.38000000000000e+003,5.19412949520195e+006,-2.75918248741722e+006,-3.66155883183274e+006
24,1.44000000000000e+003,5.48388116254830e+006,-2.54804029591231e+006,-3.38136367997056e+006
25,1.50000000000000e+003,5.74997784167787e+006,-2.32590700861428e+006,-3.08658285135220e+006
26,1.56000000000000e+003,5.99127171161813e+006,-2.09374080826594e+006,-2.77848789742465e+006
27,1.62000000000000e+003,6.20672193952076e+006,-1.85254315506870e+006,-2.45840780076226e+006
28,1.68000000000000e+003,6.39539917034482e+006,-1.60335446683528e+006,-2.12772324243571e+006
29,1.74000000000000e+003,6.55648953567492e+006,-1.34724963109682e+006,-1.78786064637704e+006
30,1.80000000000000e+003,6.68929816438225e+006,-1.08533336852324e+006,-1.44028602643060e+006
31,1.86000000000000e+003,6.79325217998498e+006,-8.18735467656869e+005,-1.08649866263101e+006
32,1.92000000000000e+003,6.86790317177885e+006,-5.48605911514606e+005,-7.28024633985802e+005
33,1.98000000000000e+003,6.91292912907857e+006,-2.76109917080217e+005,-3.66410235659342e+005
34,2.04000000000000e+003,6.92813583022655e+006,-2.42290908418014e+003,-3.21530895341747e+003
35,2.10000000000000e+003,6.91345768037749e+006,2.71274550248082e+005,3.59993487144124e+005
36,2.16000000000000e+003,6.86895799444495e+006,5.43801853608792e+005,7.21649433819129e+005
37,2.22000000000000e+003,6.79482872398936e+006,8.13983441214896e+005,1.08019251054899e+006
38,2.28000000000000e+003,6.69138962922564e+006,1.08065387164238e+006,1.43407612432707e+006
39,2.34000000000000e+003,6.55908689972195e+006,1.34266284901456e+006,1.78177378096688e+006
40,2.40000000000000e+003,6.39849122973930e+006,1.59888018485930e+006,2.12178566970901e+006
41,2.46000000000000e+003,6.21029535651405e+006,1.84820067323200e+006,2.45264513272788e+006
42,2.52000000000000e+003,5.99531107210216e+006,2.08954885807521e+006,2.77292499163154e+006
43,2.58000000000000e+003,5.75446572167466e+006,2.32188367225062e+006,3.08124370366517e+006
44,2.64000000000000e+003,5.48879820336911e+006,2.54420292823290e+006,3.37627132106295e+006
45,2.70000000000000e+003,5.19945448695197e+006,2.75554764109424e+006,3.65673522784245e+006
46,2.76000000000000e+003,4.88768267062222e+006,2.95500616513261e+006,3.92142562929562e+006
47,2.82000000000000e+003,4.55482759727908e+006,3.14171812629976e+006,4.16920077049707e+006
48,2.88000000000000e+003,4.20232505347672e+006,3.31487813346660e+006,4.39899186131958e+006
49,2.94000000000000e+003,3.83169557608909e+006,3.47373925251698e+006,4.60980768671222e+006
50,3.00000000000000e+003,3.44453789340014e+006,3.61761622828440e+006,4.80073888235477e+006
51,3.06000000000000e+003,3.04252202891158e+006,3.74588844043343e+006,4.97096185724493e+006
52,3.12000000000000e+003,2.62738209761525e+006,3.85800258053580e+006,5.11974234629821e+006
53,3.18000000000000e+003,2.20090882580371e+006,3.95347503879318e+006,5.24643857763604e+006
54,3.24000000000000e+003,1.76494182668530e+006,4.03189399011160e+006,5.35050404090005e+006
55,3.30000000000000e+003,1.32136166512298e+006,4.09292117052902e+006,5.43148984465108e+006
56,3.36000000000000e+003,8.72081745726371e+005,4.13629333633338e+006,5.48904665268422e+006
57,3.42000000000000e+003,4.19040059287814e+005,4.16182339957720e+006,5.52292619090757e+006
58,3.48000000000000e+003,-3.58091768351677e+004,4.16940123509047e+006,5.53298231828455e+006
59,3.54000000000000e+003,-4.90503948331553e+005,4.15899415551101e+006,5.51917165722044e+006
60,3.60000000000000e+003,-9.43082907180992e+005,4.13064705228295e+006,5.48155378067371e+006
61,3.66000000000000e+003,-1.39159383202394e+006,4.08448220201532e+006,5.42029095518516e+006
62,3.72000000000000e+003,-1.83410204916347e+006,4.02069873903592e+006,5.33564744093333e+006
63,3.78000000000000e+003,-2.26869877787440e+006,3.93957179641574e+006,5.22798835183533e+006
64,3.84000000000000e+003,-2.69350936402182e+006,3.84145131916907e+006,5.09777808061021e+006
65,3.90000000000000e+003,-3.10670136647294e+006,3.72676055474864e+006,4.94557829559839e+006
66,3.96000000000000e+003,-3.50649246142102e+006,3.59599422734712e+006,4.77204551797788e+006
67,4.02000000000000e+003,-3.89115813052588e+006,3.44971640388030e+006,4.57792828982833e+006
68,4.08000000000000e+003,-4.25903909970767e+006,3.28855806085694e+006,4.36406394525826e+006
69,4.14000000000000e+003,-4.60854849650631e+006,3.11321436263096e+006,4.13137499852370e+006
70,4.20000000000000e+003,-4.93817869513308e+006,2.92444166277613e+006,3.88086516471804e+006
71,4.26000000000000e+003,-5.24650781968781e+006,2.72305424151813e+006,3.61361503019812e+006
72,4.32000000000000e+003,-5.53220587748977e+006,2.50992079329721e+006,3.33077739142245e+006
73,4.38000000000000e+003,-5.79404049606579e+006,2.28596067961243e+006,3.03357228230754e+006
74,4.44000000000000e+003,-6.03088223904888e+006,2.05213996331111e+006,2.72328171155230e+006
75,4.50000000000000e+003,-6.24170947805700e+006,1.80946724142972e+006,2.40124413263107e+006
76,4.56000000000000e+003,-6.42561279953672e+006,1.55898929456151e+006,2.06884867030951e+006
77,4.62000000000000e+003,-6.58179892756291e+006,1.30178657151749e+006,1.72752912858728e+006
78,4.68000000000000e+003,-6.70959414567296e+006,1.03896852875788e+006,1.37875780591472e+006
79,4.74000000000000e+003,-6.80844720297561e+006,7.71668844697725e+005,1.02403914436192e+006
80,4.80000000000000e+003,-6.87793169199840e+006,5.01040529529873e+005,6.64903240134565e+005
81,4.86000000000000e+003,-6.91774788801712e+006,2.28250951659408e+005,3.02899243429548e+005
82,4.92000000000000e+003,-6.92772404193297e+006,-4.55231977967464e+004,-6.04113238997748e+004
83,4.98000000000000e+003,-6.90781712112061e+006,-3.19100980724242e+005,-4.23461304044100e+005
84,5.04000000000000e+003,-6.85811299505158e+006,-5.91302306045303e+005,-7.84684663249628e+005
85,5.10000000000000e+003,-6.77882606489205e+006,-8.60953020099002e+005,-1.14252324698083e+006
86,5.16000000000000e+003,-6.67029833867302e+006,-1.12688997141023e+006,-1.49543350109591e+006
87,5.22000000000000e+003,-6.53299795602204e+006,-1.38796602800015e+006,-1.84189313004264e+006
88,5.28000000000000e+003,-6.36751716882013e+006,-1.64305502559581e+006,-2.18040766335432e+006
89,5.34000000000000e+003,-6.17456978649445e+006,-1.89105662539457e+006,-2.50951690212083e+006
90,5.40000000000000e+003,-5.95498809696667e+006,-2.13090106042899e+006,-2.82780121762773e+006
