,time,x,y,z
0,0.00000000000000e+000,5.60428996221618e+005,5.07174434419101e+006,6.49653146343292e+006
1,3.00000000000000e+001,3.63475583265848e+005,5.08026243608589e+006,6.50378617146503e+006
2,6.00000000000000e+001,1.66325233735135e+005,5.08644073634024e+006,6.50690261544239e+006
3,9.00000000000000e+001,-3.09080412234534e+004,5.09027589524317e+006,6.50587872545655e+006
4,1.20000000000000e+002,-2.28110185431211e+005,5.09176553469022e+006,6.50071505813871e+006
5,1.50000000000000e+002,-4.25167164591546e+005,5.09090824977068e+006,6.49141479655489e+006
6,1.80000000000000e+002,-6.21965033199954e+005,5.08770361007432e+006,6.47798374848929e+006
7,2.10000000000000e+002,-8.18390001415813e+005,5.08215216071620e+006,6.46043034311558e+006
8,2.40000000000000e+002,-1.01432850186075e+006,5.07425542307807e+006,6.43876562605695e+006
9,2.70000000000000e+002,-1.20966725630783e+006,5.06401589526447e+006,6.41300325283602e+006
10,3.00000000000000e+002,-1.40429334222738e+006,5.05143705227144e+006,6.38315948071659e+006
11,3.30000000000000e+002,-1.59809425915226e+006,5.03652334586586e+006,6.34925315893970e+006
12,3.60000000000000e+002,-1.79095799482870e+006,5.01928020417272e+006,6.31130571735714e+006
13,3.90000000000000e+002,-1.98277309110857e+006,4.99971403096891e+006,6.26934115346797e+006
14,4.20000000000000e+002,-2.17342870959565e+006,4.97783220467469e+006,6.22338601785220e+006
15,4.50000000000000e+002,-2.36281469688196e+006,4.95364307705547e+006,6.17346939803401e+006
16,4.80000000000000e+002,-2.55082164951976e+006,4.92715597160915e+006,6.11962290074260e+006
17,5.10000000000000e+002,-2.73734097854754e+006,4.89838118165290e+006,6.06188063260710e+006
18,5.40000000000000e+002,-2.92226497359705e+006,4.86732996809840e+006,6.00027917928035e+006
19,5.70000000000000e+002,-3.10548686653045e+006,4.83401455691436e+006,5.93485758300286e+006
20,6.00000000000000e+002,-3.28690089457527e+006,4.79844813627154e+006,5.86565731861475e+006
21,6.30000000000000e+002,-3.46640236291703e+006,4.76064485336764e+006,5.79272226802688e+006
22,6.60000000000000e+002,-3.64388770671446e+006,4.72061981092766e+006,5.71609869316104e+006
23,6.90000000000000e+002,-3.81925455249950e+006,4.67838906337659e+006,5.63583520737145e+006
24,7.20000000000000e+002,-3.99240177892538e+006,4.63396961268016e+006,5.55198274536015e+006
25,7.50000000000000e+002,-4.16322957682533e+006,4.58737940385038e+006,5.46459453159964e+006
26,7.80000000000000e+002,-4.33163950854513e+006,4.53863732011171e+006,5.37372604727753e+006
27,8.10000000000000e+002,-4.49753456651168e+006,4.48776317772462e+006,5.27943499577880e+006
28,8.40000000000000e+002,-4.66081923099343e+006,4.43477772046529e+006,5.18178126672640e+006
