,time,x,y,z
0,0.00000000000000e+000,3.97476269564675e+006,-3.22497417297745e+006,-6.49679852113278e+006
1,3.00000000000000e+001,4.10943696842951e+006,-3.08190010285680e+006,-6.48251231678411e+006
2,6.00000000000000e+001,4.24215966701835e+006,-2.93747572337223e+006,-6.46411646291769e+006
3,9.00000000000000e+001,4.37285318672084e+006,-2.79178302409166e+006,-6.44162263671456e+006
4,1.20000000000000e+002,4.50144082642671e+006,-2.64490444543727e+006,-6.41504509621018e+006
5,1.50000000000000e+002,4.62784683396083e+006,-2.49692283217623e+006,-6.38440067156815e+006
6,1.80000000000000e+002,4.75199645111177e+006,-2.34792138687377e+006,-6.34970875481793e+006
7,2.10000000000000e+002,4.87381595831161e+006,-2.19798362333098e+006,-6.31099128806089e+006
8,2.40000000000000e+002,4.99323271894811e+006,-2.04719332002158e+006,-6.26827275014684e+006
9,2.70000000000000e+002,5.11017522325659e+006,-1.89563447358651e+006,-6.22158014183645e+006
10,3.00000000000000e+002,5.22457313184148e+006,-1.74339125230925e+006,-6.17094296942824e+006
11,3.30000000000000e+002,5.33635731869640e+006,-1.59054794973249e+006,-6.11639322689332e+006
12,3.60000000000000e+002,5.44545991378435e+006,-1.43718893832402e+006,-6.05796537649487e+006
13,3.90000000000000e+002,5.55181434511381e+006,-1.28339862326372e+006,-5.99569632791252e+006
14,4.20000000000000e+002,5.65535538029426e+006,-1.12926139636073e+006,-5.92962541587633e+006
15,4.50000000000000e+002,5.75601916754380e+006,-9.74861590124039e+005,-5.85979437631947e+006
16,4.80000000000000e+002,5.85374327612347e+006,-8.20283432007063e+005,-5.78624732105881e+006
17,5.10000000000000e+002,5.94846673617246e+006,-6.65610998846536e+005,-5.70903071101259e+006
18,5.40000000000000e+002,6.04013007791752e+006,-5.10928171517626e+005,-5.62819332796638e+006
19,5.70000000000000e+002,6.12867537022998e+006,-3.56318589826822e+005,-5.54378624489883e+006
20,6.00000000000000e+002,6.21404625850490e+006,-2.01865607661627e+005,-5.45586279487817e+006
21,6.30000000000000e+002,6.29618800183381e+006,-4.76522484219885e+004,-5.36447853854432e+006
22,6.60000000000000e+002,6.37504750944612e+006,1.06238839248928e+005,-5.26969123018870e+006
23,6.90000000000000e+002,6.45057337639486e+006,2.59725425418816e+005,-5.17156078244251e+006
24,7.20000000000000e+002,6.52271591844037e+006,4.12725742440460e+005,-5.07014922961514e+006
25,7.50000000000000e+002,6.59142720615097e+006,5.65158528225961e+005,-4.96552068963946e+006
26,7.80000000000000e+002,6.65666109813684e+006,7.16943069073844e+005,-4.85774132471484e+006
27,8.10000000000000e+002,6.71837327343036e+006,8.67999242115496e+005,-4.74687930061521e+006
28,8.40000000000000e+002,6.77652126297125e+006,1.01824755732574e+006,-4.63300474470098e+006
