,time,x,y,z
0,0.00000000000000e+000,-6.86371389548402e+006,2.90718380688889e+006,3.56361175356886e+006
1,3.00000000000000e+001,-6.97146933751592e+006,2.81617923381851e+006,3.42508387159381e+006
2,6.00000000000000e+001,-7.07522454009504e+006,2.72385943532457e+006,3.28437303711843e+006
3,9.00000000000000e+001,-7.17491954883657e+006,2.63026501764702e+006,3.14156887739645e+006
4,1.20000000000000e+002,-7.27049680230533e+006,2.53543714204364e+006,2.99676236369348e+006
5,1.50000000000000e+002,-7.36190116716386e+006,2.43941750912735e+006,2.85004575290678e+006
6,1.80000000000000e+002,-7.44907997182192e+006,2.34224834296403e+006,2.70151252829016e+006
7,2.10000000000000e+002,-7.53198303856102e+006,2.24397237493436e+006,2.55125733932267e+006
8,2.40000000000000e+002,-7.61056271410774e+006,2.14463282736471e+006,2.39937594076208e+006
9,2.70000000000000e+002,-7.68477389863068e+006,2.04427339693185e+006,2.24596513092499e+006
10,3.00000000000000e+002,-7.75457407313781e+006,1.94293823784609e+006,2.09112268923527e+006
11,3.30000000000000e+002,-7.81992332525093e+006,1.84067194481961e+006,1.93494731308605e+006
12,3.60000000000000e+002,-7.88078437333691e+006,1.73751953582425e+006,1.77753855405729e+006
13,3.90000000000000e+002,-7.93712258897515e+006,1.63352643464576e+006,1.61899675353608e+006
14,4.20000000000000e+002,-7.98890601774320e+006,1.52873845324055e+006,1.45942297778420e+006
15,4.50000000000000e+002,-8.03610539830354e+006,1.42320177390084e+006,1.29891895249930e+006
16,4.80000000000000e+002,-8.07869417977546e+006,1.31696293123643e+006,1.13758699691841e+006
17,5.10000000000000e+002,-8.11664853737853e+006,1.21006879397871e+006,9.75529957509562e+005
18,5.40000000000000e+002,-8.14994738633501e+006,1.10256654661426e+006,8.12851141300114e+005
19,5.70000000000000e+002,-8.17857239401980e+006,9.94503670856980e+005,6.49654248892063e+005
20,6.00000000000000e+002,-8.20250799034916e+006,8.85927926964291e+005,4.86043307210720e+005
21,6.30000000000000e+002,-8.22174137640007e+006,7.76887334906621e+005,3.22122602037970e+005
22,6.60000000000000e+002,-8.23626253125403e+006,6.67430155398112e+005,1.57996610379491e+005
23,6.90000000000000e+002,-8.24606421706111e+006,5.57604870795694e+005,-6.23006728565050e+003
24,7.20000000000000e+002,-8.25114198232105e+006,4.47460165875865e+005,-1.70452774821463e+005
25,7.50000000000000e+002,-8.25149416338048e+006,3.37044908496970e+005,-3.34566868268828e+005
26,7.80000000000000e+002,-8.24712188414650e+006,2.26408130155605e+005,-4.98467783646312e+005
27,8.10000000000000e+002,-8.23802905401895e+006,1.15599006446051e+005,-6.62051104667575e+005
28,8.40000000000000e+002,-8.22422236404490e+006,4.66683742998028e+003,-8.25212630327960e+005
29,8.70000000000000e+002,-8.20571128130107e+006,-1.06338972072784e+005,-9.87848442307591e+005
30,9.00000000000000e+002,-8.18250804151079e+006,-2.17368932265671e+005,-1.14985497214479e+006
31,9.30000000000000e+002,-8.15462763990456e+006,-3.28373488219525e+005,-1.31112906812959e+006
32,9.60000000000000e+002,-8.12208782033428e+006,-4.39303039770144e+005,-1.47156806186862e+006
33,9.90000000000000e+002,-8.08490906265270e+006,-5.50107961462386e+005,-1.63106983447543e+006
34,1.02000000000000e+003,-8.04311456837182e+006,-6.60738622530503e+005,-1.78953288233692e+006
35,1.05000000000000e+003,-7.99673024461463e+006,-7.71145406907217e+005,-1.94685638241043e+006
36,1.08000000000000e+003,-7.94578468637706e+006,-8.81278733252090e+005,-2.10294025700425e+006
37,1.11000000000000e+003,-7.89030915711683e+006,-9.91089074992917e+005,-2.25768523799866e+006
38,1.14000000000000e+003,-7.83033756768959e+006,-1.10052698036910e+006,-2.41099293045972e+006
39,1.17000000000000e+003,-7.76590645365164e+006,-1.20954309247121e+006,-2.56276587560468e+006
40,1.20000000000000e+003,-7.69705495095156e+006,-1.31808816926774e+006,-2.71290761307505e+006
41,1.23000000000000e+003,-7.62382477003323e+006,-1.42611310361186e+006,-2.86132274247608e+006
42,1.26000000000000e+003,-7.54626016837543e+006,-1.53356894321880e+006,-3.00791698413967e+006
43,1.29000000000000e+003,-7.46440792149141e+006,-1.64040691060966e+006,-3.15259723907454e+006
44,1.32000000000000e+003,-7.37831729241699e+006,-1.74657842301057e+006,-3.29527164806025e+006
45,1.35000000000000e+003,-7.28803999971261e+006,-1.85203511220341e+006,-3.43584964985102e+006
46,1.38000000000000e+003,-7.19363018400880e+006,-1.95672884431893e+006,-3.57424203845010e+006
47,1.41000000000000e+003,-7.09514437312451e+006,-2.06061173956610e+006,-3.71036101941916e+006
48,1.44000000000000e+003,-6.99264144578676e+006,-2.16363619189264e+006,-3.84412026519039e+006
49,1.47000000000000e+003,-6.88618259398500e+006,-2.26575488856770e+006,-3.97543496934420e+006
50,1.50000000000000e+003,-6.77583128398885e+006,-2.36692082968365e+006,-4.10422189982409e+006
51,1.53000000000000e+003,-6.66165321606424e+006,-2.46708734756853e+006,-4.23039945105438e+006
52,1.56000000000000e+003,-6.54371628291899e+006,-2.56620812610492e+006,-4.35388769493287e+006
53,1.59000000000000e+003,-6.42209052691126e+006,-2.66423721995000e+006,-4.47460843066942e+006
54,1.62000000000000e+003,-6.29684809605651e+006,-2.76112907364984e+006,-4.59248523344158e+006
55,1.65000000000000e+003,-6.16806319886467e+006,-2.85683854064505e+006,-4.70744350184292e+006
56,1.68000000000000e+003,-6.03581205804420e+006,-2.95132090216148e+006,-4.81941050409737e+006
57,1.71000000000000e+003,-5.90017286310746e+006,-3.04453188598146e+006,-4.92831542301586e+006
58,1.74000000000000e+003,-5.76122572191184e+006,-3.13642768509180e+006,-5.03408939967300e+006
59,1.77000000000000e+003,-5.61905261117368e+006,-3.22696497620321e+006,-5.13666557578111e+006
60,1.80000000000000e+003,-5.47373732598873e+006,-3.31610093813790e+006,-5.23597913474204e+006
61,1.83000000000000e+003,-5.32536542839673e+006,-3.40379327008053e+006,-5.33196734135611e+006
62,1.86000000000000e+003,-5.17402419502413e+006,-3.49000020968932e+006,-5.42456958017111e+006
63,1.89000000000000e+003,-5.01980256384253e+006,-3.57468055106274e+006,-5.51372739245254e+006
64,1.92000000000000e+003,-4.86279108007695e+006,-3.65779366255899e+006,-5.59938451176011e+006
65,1.95000000000000e+003,-4.70308184130080e+006,-3.73929950446402e+006,-5.68148689811438e+006
66,1.98000000000000e+003,-4.54076844175353e+006,-3.81915864650450e+006,-5.75998277073914e+006
67,2.01000000000000e+003,-4.37594591591473e+006,-3.89733228520314e+006,-5.83482263936703e+006
68,2.04000000000000e+003,-4.20871068137218e+006,-3.97378226107197e+006,-5.90595933409496e+006
69,2.07000000000000e+003,-4.03916048101768e+006,-4.04847107564071e+006,-5.97334803377838e+006
70,2.10000000000000e+003,-3.86739432460687e+006,-4.12136190831659e+006,-6.03694629295337e+006
71,2.13000000000000e+003,-3.69351242971638e+006,-4.19241863307265e+006,-6.09671406727711e+006
72,2.16000000000000e+003,-3.51761616213480e+006,-4.26160583496044e+006,-6.15261373747712e+006
73,2.19000000000000e+003,-3.33980797571992e+006,-4.32888882644443e+006,-6.20461013180162e+006
74,2.22000000000000e+003,-3.16019135175841e+006,-4.39423366355381e+006,-6.25267054696281e+006
75,2.25000000000000e+003,-2.97887073785978e+006,-4.45760716184888e+006,-6.29676476756689e+006
76,2.28000000000000e+003,-2.79595148642022e+006,-4.51897691219750e+006,-6.33686508402409e+006
77,2.31000000000000e+003,-2.61153979268859e+006,-4.57831129635848e+006,-6.37294630893358e+006
78,2.34000000000000e+003,-2.42574263246710e+006,-4.63557950236772e+006,-6.40498579193843e+006
79,2.37000000000000e+003,-2.23866769948184e+006,-4.69075153972280e+006,-6.43296343304598e+006
80,2.40000000000000e+003,-2.05042334245370e+006,-4.74379825436195e+006,-6.45686169441032e+006
81,2.43000000000000e+003,-1.86111850190264e+006,-4.79469134343316e+006,-6.47666561057366e+006
82,2.46000000000000e+003,-1.67086264671803e+006,-4.84340336984854e+006,-6.49236279716390e+006
83,2.49000000000000e+003,-1.47976571052695e+006,-4.88990777661913e+006,-6.50394345804644e+006
84,2.52000000000000e+003,-1.28793802789202e+006,-4.93417890096527e+006,-6.51140039092863e+006
85,2.55000000000000e+003,-1.09549027037018e+006,-4.97619198819731e+006,-6.51472899141591e+006
86,2.58000000000000e+003,-9.02533382464419e+005,-5.01592320536096e+006,-6.51392725551884e+006
87,2.61000000000000e+003,-7.09178517500141e+005,-5.05334965464174e+006,-6.50899578061114e+006
88,2.64000000000000e+003,-5.15536973455990e+005,-5.08844938652251e+006,-6.49993776483899e+006
89,2.67000000000000e+003,-3.21720128781972e+005,-5.12120141268786e+006,-6.48675900498251e+006
90,2.70000000000000e+003,-1.27839378235090e+005,-5.15158571866876e+006,-6.46946789277050e+006
91,2.73000000000000e+003,6.59939312374443e+004,-5.17958327622105e+006,-6.44807540965044e+006
92,2.76000000000000e+003,2.59668564533875e+005,-5.20517605543032e+006,-6.42259512001593e+006
93,2.79000000000000e+003,4.53073462323900e+005,-5.22834703653618e+006,-6.39304316289411e+006
94,2.82000000000000e+003,6.46097804833435e+005,-5.24908022146844e+006,-6.35943824209639e+006
95,2.85000000000000e+003,8.38631075455879e+005,-5.26736064508713e+006,-6.32180161483621e+006
96,2.88000000000000e+003,1.03056312416934e+006,-5.28317438611912e+006,-6.28015707881601e+006
97,2.91000000000000e+003,1.22178423067458e+006,-5.29650857777962e+006,-6.23453095779945e+006
98,2.94000000000000e+003,1.41218516736065e+006,-5.30735141807875e+006,-6.18495208564520e+006
99,2.97000000000000e+003,1.60165726187385e+006,-5.31569217979191e+006,-6.13145178884806e+006
100,3.00000000000000e+003,1.79009245941101e+006,-5.32152122009507e+006,-6.07406386756289e+006
101,3.03000000000000e+003,1.97738338464305e+006,-5.32482998985160e+006,-6.01282457513055e+006
102,3.06000000000000e+003,2.16342340324517e+006,-5.32561104254164e+006,-5.94777259611227e+006
103,3.09000000000000e+003,2.34810668300456e+006,-5.32385804282480e+006,-5.87894902284002e+006
104,3.12000000000000e+003,2.53132825447360e+006,-5.31956577472611e+006,-5.80639733049169e+006
105,3.15000000000000e+003,2.71298407113461e+006,-5.31273014943570e+006,-5.73016335070157e+006
106,3.18000000000000e+003,2.89297106904609e+006,-5.30334821271180e+006,-5.65029524371569e+006
107,3.21000000000000e+003,3.07118722593762e+006,-5.29141815187725e+006,-5.56684346910339e+006
108,3.24000000000000e+003,3.24753161972001e+006,-5.27693930239907e+006,-5.47986075503738e+006
109,3.27000000000000e+003,3.42190448637972e+006,-5.25991215404089e+006,-5.38940206615462e+006
110,3.30000000000000e+003,3.59420727722404e+006,-5.24033835657799e+006,-5.29552457001166e+006
111,3.33000000000000e+003,3.76434271545101e+006,-5.21822072506316e+006,-5.19828760214547e+006
112,3.36000000000000e+003,3.93221485197225e+006,-5.19356324464015e+006,-5.09775262977637e+006
113,3.39000000000000e+003,4.09772912054956e+006,-5.16637107487835e+006,-4.99398321411887e+006
114,3.42000000000000e+003,4.26079239209387e+006,-5.13665055363821e+006,-4.88704497138083e+006
115,3.45000000000000e+003,4.42131302817851e+006,-5.10440920044317e+006,-4.77700553242435e+006
116,3.48000000000000e+003,4.57920093370018e+006,-5.06965571935384e+006,-4.66393450112535e+006
117,3.51000000000000e+003,4.73436760866154e+006,-5.03240000133319e+006,-4.54790341144861e+006
118,3.54000000000000e+003,4.88672619904309e+006,-4.99265312609287e+006,-4.42898568325903e+006
119,3.57000000000000e+003,5.03619154672953e+006,-4.95042736341184e+006,-4.30725657689315e+006
120,3.60000000000000e+003,5.18268023846055e+006,-4.90573617391715e+006,-4.18279314651248e+006
121,3.63000000000000e+003,5.32611065377214e+006,-4.85859420931838e+006,-4.05567419226452e+006
122,3.66000000000000e+003,5.46640301189780e+006,-4.80901731208652e+006,-3.92598021127594e+006
123,3.69000000000000e+003,5.60347941759647e+006,-4.75702251456928e+006,-3.79379334750553e+006
124,3.72000000000000e+003,5.73726390587739e+006,-4.70262803753407e+006,-3.65919734048383e+006
125,3.75000000000000e+003,5.86768248558980e+006,-4.64585328813122e+006,-3.52227747296882e+006
126,3.78000000000000e+003,5.99466318184675e+006,-4.58671885727034e+006,-3.38312051754811e+006
127,3.81000000000000e+003,6.11813607725479e+006,-4.52524651640159e+006,-3.24181468221686e+006
