,time,x,y,z
0,0.00000000000000e+000,1.73614746272452e+006,7.82397185320033e+006,-2.04506610585694e+006
1,3.00000000000000e+001,1.63226602787244e+006,7.88534438645524e+006,-1.88859877191321e+006
2,6.00000000000000e+001,1.52761548454815e+006,7.94220806444046e+006,-1.73093092169968e+006
3,9.00000000000000e+001,1.42224185899092e+006,7.99452999430821e+006,-1.57216270224105e+006
4,1.20000000000000e+002,1.31619150558909e+006,8.04227994509222e+006,-1.41239497588132e+006
5,1.50000000000000e+002,1.20951108920027e+006,8.08543036662394e+006,-1.25172925585890e+006
6,1.80000000000000e+002,1.10224756731269e+006,8.12395640679099e+006,-1.09026764140108e+006
7,2.10000000000000e+002,9.94448172050227e+005,8.15783592712339e+006,-9.28112752377764e+005
8,2.40000000000000e+002,8.86160392030152e+005,8.18704951669245e+006,-7.65367663563693e+005
9,2.70000000000000e+002,7.77431954078430e+005,8.21158050430984e+006,-6.02135838552946e+005
10,3.00000000000000e+002,6.68310804809182e+005,8.23141496901518e+006,-4.38521063372146e+005
11,3.30000000000000e+002,5.58845092076363e+005,8.24654174884210e+006,-2.74627379840727e+005
12,3.60000000000000e+002,4.49083146303841e+005,8.25695244785424e+006,-1.10559018724507e+005
13,3.90000000000000e+002,3.39073461700196e+005,8.26264144144434e+006,5.35796672709312e+004
14,4.20000000000000e+002,2.28864677367785e+005,8.26360587989062e+006,2.17684270616527e+005
15,4.50000000000000e+002,1.18505558311255e+005,8.25984569016685e+006,3.81650396140390e+005
16,4.80000000000000e+002,8.04497635465069e+003,8.25136357600340e+006,5.45373728222762e+005
17,5.10000000000000e+002,-1.02468109026212e+005,8.23816501619871e+006,7.08750097958455e+005
18,5.40000000000000e+002,-2.12984669947953e+005,8.22025826118164e+006,8.71675550237831e+005
19,5.70000000000000e+002,-3.23455629431627e+005,8.19765432782737e+006,1.03404641069705e+006
20,6.00000000000000e+002,-4.33831880777934e+005,8.17036699253008e+006,1.19575935249375e+006
21,6.30000000000000e+002,-5.44064306992334e+005,8.13841278253876e+006,1.35671146285354e+006
22,6.60000000000000e+002,-6.54103800257995e+005,8.10181096556196e+006,1.51680030934682e+006
23,6.90000000000000e+002,-7.63901281443967e+005,8.06058353765090e+006,1.67592400584331e+006
24,7.20000000000000e+002,-8.73407719643758e+005,8.01475520937031e+006,1.83398127810050e+006
25,7.50000000000000e+002,-9.82574151734364e+005,7.96435339026875e+006,1.99087152893774e+006
26,7.80000000000000e+002,-1.09135170194946e+006,7.90940817166107e+006,2.14649490295144e+006
27,8.10000000000000e+002,-1.19969160145756e+006,7.84995230773774e+006,2.30075235072411e+006
28,8.40000000000000e+002,-1.30754520793871e+006,7.78602119501615e+006,2.45354569248451e+006
29,8.70000000000000e+002,-1.41486402515141e+006,7.71765285015134e+006,2.60477768117326e+006
30,9.00000000000000e+002,-1.52159972248171e+006,7.64488788612481e+006,2.75435206487008e+006
31,9.30000000000000e+002,-1.62770415446808e+006,7.56776948683051e+006,2.90217364854119e+006
32,9.60000000000000e+002,-1.73312938029422e+006,7.48634338007925e+006,3.04814835506409e+006
33,9.90000000000000e+002,-1.83782768324234e+006,7.40065780904368e+006,3.19218328548825e+006
34,1.02000000000000e+003,-1.94175159010048e+006,7.31076350216683e+006,3.33418677849231e+006
35,1.05000000000000e+003,-2.04485389051611e+006,7.21671364155906e+006,3.47406846899722e+006
36,1.08000000000000e+003,-2.14708765629015e+006,7.11856382990818e+006,3.61173934589803e+006
37,1.11000000000000e+003,-2.24840626060414e+006,7.01637205592954e+006,3.74711180887599e+006
38,1.14000000000000e+003,-2.34876339717412e+006,6.91019865838362e+006,3.88009972425455e+006
39,1.17000000000000e+003,-2.44811309932510e+006,6.80010628868910e+006,4.01061847986387e+006
40,1.20000000000000e+003,-2.54640975898051e+006,6.68615987215976e+006,4.13858503888019e+006
41,1.23000000000000e+003,-2.64360814555900e+006,6.56842656789716e+006,4.26391799260436e+006
42,1.26000000000000e+003,-2.73966342477466e+006,6.44697572736745e+006,4.38653761214971e+006
43,1.29000000000000e+003,-2.83453117733448e+006,6.32187885169405e+006,4.50636589900727e+006
44,1.32000000000000e+003,-2.92816741752582e+006,6.19320954770037e+006,4.62332663445607e+006
45,1.35000000000000e+003,-3.02052861169177e+006,6.06104348273115e+006,4.73734542779308e+006
46,1.38000000000000e+003,-3.11157169658637e+006,5.92545833828860e+006,4.84834976335180e+006
47,1.41000000000000e+003,-3.20125409760562e+006,5.78653376251607e+006,4.95626904628334e+006
48,1.44000000000000e+003,-3.28953374689043e+006,5.64435132156131e+006,5.06103464707565e+006
49,1.47000000000000e+003,-3.37636910129453e+006,5.49899444985687e+006,5.16257994478341e+006
50,1.50000000000000e+003,-3.46171916021511e+006,5.35054839934847e+006,5.26084036894792e+006
51,1.53000000000000e+003,-3.54554348327957e+006,5.19910018770962e+006,5.35575344018177e+006
52,1.56000000000000e+003,-3.62780220788516e+006,5.04473854557532e+006,5.44725880939846e+006
53,1.59000000000000e+003,-3.70845606658708e+006,4.88755386283075e+006,5.53529829566579e+006
54,1.62000000000000e+003,-3.78746640433010e+006,4.72763813399077e+006,5.61981592266360e+006
55,1.65000000000000e+003,-3.86479519552000e+006,4.56508490270564e+006,5.70075795372716e+006
56,1.68000000000000e+003,-3.94040506093083e+006,4.39998920542775e+006,5.77807292545940e+006
57,1.71000000000000e+003,-4.01425928444296e+006,4.23244751427726e+006,5.85171167989424e+006
58,1.74000000000000e+003,-4.08632182960929e+006,4.06255767913890e+006,5.92162739519700e+006
59,1.77000000000000e+003,-4.15655735604382e+006,3.89041886902972e+006,5.98777561488551e+006
60,1.80000000000000e+003,-4.22493123562994e+006,3.71613151276997e+006,6.05011427555954e+006
61,1.83000000000000e+003,-4.29140956854312e+006,3.53979723899557e+006,6.10860373312458e+006
62,1.86000000000000e+003,-4.35595919908493e+006,3.36151881554542e+006,6.16320678749877e+006
63,1.89000000000000e+003,-4.41854773132300e+006,3.18140008826134e+006,6.21388870579094e+006
64,1.92000000000000e+003,-4.47914354453379e+006,2.99954591923415e+006,6.26061724393996e+006
65,1.95000000000000e+003,-4.53771580844278e+006,2.81606212453264e+006,6.30336266680533e+006
66,1.98000000000000e+003,-4.59423449825816e+006,2.63105541145039e+006,6.34209776670022e+006
67,2.01000000000000e+003,-4.64867040949326e+006,2.44463331530527e+006,6.37679788035886e+006
68,2.04000000000000e+003,-4.70099517257313e+006,2.25690413582694e+006,6.40744090433075e+006
69,2.07000000000000e+003,-4.75118126722013e+006,2.06797687316728e+006,6.43400730879498e+006
70,2.10000000000000e+003,-4.79920203661352e+006,1.87796116356971e+006,6.45648014978840e+006
71,2.13000000000000e+003,-4.84503170131852e+006,1.68696721472940e+006,6.47484507984264e+006
72,2.16000000000000e+003,-4.88864537297829e+006,1.49510574088295e+006,6.48909035702471e+006
73,2.19000000000000e+003,-4.93001906776446e+006,1.30248789765866e+006,6.49920685237748e+006
74,2.22000000000000e+003,-4.96912971957965e+006,1.10922521672472e+006,6.50518805575630e+006
75,2.25000000000000e+003,-5.00595519300665e+006,9.15429540267136e+005,6.50703008005902e+006
76,2.28000000000000e+003,-5.04047429599733e+006,7.21212955335359e+005,6.50473166384706e+006
77,2.31000000000000e+003,-5.07266679229595e+006,5.26687728086207e+005,6.49829417235603e+006
78,2.34000000000000e+003,-5.10251341358923e+006,3.31966237963602e+005,6.48772159689461e+006
79,2.37000000000000e+003,-5.12999587137718e+006,1.37160911847200e+005,6.47302055263165e+006
80,2.40000000000000e+003,-5.15509686855724e+006,-5.76158417962291e+004,6.45420027477128e+006
81,2.43000000000000e+003,-5.17780011071458e+006,-2.52251698722657e+005,6.43127261311706e+006
82,2.46000000000000e+003,-5.19809031711104e+006,-4.46634484647076e+005,6.40425202502680e+006
83,2.49000000000000e+003,-5.21595323136528e+006,-6.40652240875756e+005,6.37315556675941e+006
84,2.52000000000000e+003,-5.23137563181578e+006,-8.34193289792961e+005,6.33800288321754e+006
85,2.55000000000000e+003,-5.24434534155901e+006,-1.02714630017387e+006,6.29881619608844e+006
86,2.58000000000000e+003,-5.25485123815405e+006,-1.21940035227818e+006,6.25562029038913e+006
87,2.61000000000000e+003,-5.26288326298658e+006,-1.41084500273387e+006,6.20844249941100e+006
88,2.64000000000000e+003,-5.26843243027957e+006,-1.60137034906141e+006,6.15731268809432e+006
89,2.67000000000000e+003,-5.27149083574788e+006,-1.79086709396623e+006,6.10226323480370e+006
90,2.70000000000000e+003,-5.27205166488269e+006,-1.97922660923326e+006,6.04332901153920e+006
91,2.73000000000000e+003,-5.27010920085872e+006,-2.16634099924455e+006,5.98054736257919e+006
92,2.76000000000000e+003,-5.26565883205481e+006,-2.35210316407458e+006,5.91395808156532e+006
93,2.79000000000000e+003,-5.25869705917829e+006,-2.53640686212591e+006,5.84360338703957e+006
94,2.82000000000000e+003,-5.24922150198376e+006,-2.71914677227185e+006,5.76952789644292e+006
95,2.85000000000000e+003,-5.23723090557668e+006,-2.90021855546969e+006,5.69177859858666e+006
96,2.88000000000000e+003,-5.22272514629220e+006,-3.07951891580643e+006,5.61040482460937e+006
97,2.91000000000000e+003,-5.20570523713968e+006,-3.25694566094423e+006,5.52545821743112e+006
98,2.94000000000000e+003,-5.18617333280326e+006,-3.43239776192627e+006,5.43699269972013e+006
99,2.97000000000000e+003,-5.16413273418875e+006,-3.60577541230990e+006,5.34506444038539e+006
100,3.00000000000000e+003,-5.13958789250747e+006,-3.77698008658858e+006,5.24973181961228e+006
101,3.03000000000000e+003,-5.11254441288928e+006,-3.94591459785869e+006,5.15105539246240e+006
102,3.06000000000000e+003,-5.08300905750554e+006,-4.11248315474381e+006,5.04909785102865e+006
103,3.09000000000000e+003,-5.05098974821548e+006,-4.27659141742557e+006,4.94392398522749e+006
104,3.12000000000000e+003,-5.01649556869871e+006,-4.43814655288959e+006,4.83560064216999e+006
105,3.15000000000000e+003,-4.97953676608476e+006,-4.59705728924715e+006,4.72419668418876e+006
106,3.18000000000000e+003,-4.94012475206339e+006,-4.75323396913717e+006,4.60978294552135e+006
107,3.21000000000000e+003,-4.89827210346832e+006,-4.90658860216573e+006,4.49243218767793e+006
108,3.24000000000000e+003,-4.85399256232601e+006,-5.05703491634903e+006,4.37221905351655e+006
109,3.27000000000000e+003,-4.80730103536206e+006,-5.20448840852256e+006,4.24922002005404e+006
110,3.30000000000000e+003,-4.75821359295678e+006,-5.34886639368448e+006,4.12351335003699e+006
111,3.33000000000000e+003,-4.70674746754352e+006,-5.49008805323622e+006,3.99517904230352e+006
112,3.36000000000000e+003,-4.65292105144157e+006,-5.62807448208946e+006,3.86429878096265e+006
113,3.39000000000000e+003,-4.59675389411851e+006,-5.76274873460272e+006,3.73095588342437e+006
114,3.42000000000000e+003,-4.53826669887481e+006,-5.89403586931718e+006,3.59523524731037e+006
115,3.45000000000000e+003,-4.47748131894493e+006,-6.02186299245901e+006,3.45722329627844e+006
116,3.48000000000000e+003,-4.41442075301068e+006,-6.14615930017487e+006,3.31700792479620e+006
117,3.51000000000000e+003,-4.34910914012054e+006,-6.26685611947233e+006,3.17467844189679e+006
118,3.54000000000000e+003,-4.28157175401199e+006,-6.38388694783260e+006,3.03032551395515e+006
119,3.57000000000000e+003,-4.21183499683174e+006,-6.49718749146807e+006,2.88404110652019e+006
120,3.60000000000000e+003,-4.13992639225206e+006,-6.60669570219435e+006,2.73591842524343e+006
121,3.63000000000000e+003,-4.06587457797914e+006,-6.71235181289063e+006,2.58605185594177e+006
122,3.66000000000000e+003,-3.98970929765187e+006,-6.81409837152131e+006,2.43453690383551e+006
123,3.69000000000000e+003,-3.91146139212967e+006,-6.91188027369266e+006,2.28147013200353e+006
124,3.72000000000000e+003,-3.83116279016766e+006,-7.00564479372107e+006,2.12694909909705e+006
125,3.75000000000000e+003,-3.74884649847950e+006,-7.09534161418836e+006,1.97107229635624e+006
126,3.78000000000000e+003,-3.66454659118731e+006,-7.18092285396278e+006,1.81393908397293e+006
127,3.81000000000000e+003,-3.57829819865996e+006,-7.26234309466423e+006,1.65564962684471e+006
128,3.84000000000000e+003,-3.49013749574060e+006,-7.33955940555418e+006,1.49630482976592e+006
